Project Name,項目名稱,项目名称,Grantee,獲資助者,获资助者,Project Type,項目類型,项目类型,Innovative Programme,創新計劃,创新计划,Stage of Innovation Development,階段,阶段,Project Nature,項目性質,项目性质,Major Beneficiaries,主要受惠者,主要受惠者,Brief Description,簡介,简介,Impact / Expected Impact,效益/預期效益,效益/预期效益,Approved Funding Amount (HK$),獲批資助額 （港幣）,获批资助额 （港币）,Funding Period (months),資助期(月),资助期(月),Status,狀況,状况,Project Website,項目網頁,项目网页
Building Research Innovation for Community Knowledge and Sustainability,Building Research Innovation for Community Knowledge and Sustainability,Building Research Innovation for Community Knowledge and Sustainability,The British Council,英國文化協會,英国文化协会,Research,研究,研究,N/A,不適用,不适用,N/A,不適用,不适用,Others,其他,其他,Others,其他,其他,"BRICKS stands for Building Research Innovation for Community Knowledge and Sustainability, which is a one-year pilot project launched by the British Council in August 2018. Its objective is to find innovative solutions to social challenges in Hong Kong by building the capacity of the social innovation research community; fostering collaboration among higher education institutes, practitioners in the civic and business communities and other organisations working at the frontline of social service delivery; and facilitate the development of research projects which will link up the city’s academics with the beneficiary groups. The project is managed by a consortium of organisations led by the British Council and comprising Professor Alex Nicholls from the Saïd Business School of the University of Oxford, the Social Innovation Exchange and the Good Lab.",BRICKS全名Building Research Innovation for Community Knowledge and Sustainability，項目由英國文化協會於2018年8月推出，旨在提升本地學術界在社會創新方面的能力，同時創造一個能夠促進本地學術界、公民社會、商界和前線社會服務機構共同協作的環境，並鼓勵更多讓本地學術界直接與目標受惠社群連繫的研究項目，藉此發掘創新方案以應對本港社會問題。BRICKS項目由一個匯聚各方專業知識的聯盟管理執行，除了英國文化協會，其他夥伴包括英國牛津大學Saïd Business School的Alex Nicholls教授、Social Innovation Exchange(SIX)和好單位(Good Lab)。 ,BRICKS全名Building Research Innovation for Community Knowledge and Sustainability，项目由英国文化协会于2018年8月推出，旨在提升本地学术界在社会创新方面的能力，同时创造一个能够促进本地学术界、公民社会、商界和前线社会服务机构共同协作的环境，并鼓励更多让本地学术界直接与目标受惠社群连系的研究项目，借此发掘创新方案以应对本港社会问题。BRICKS项目由一个汇聚各方专业知识的联盟管理执行，除了英国文化协会，其他伙伴包括英国牛津大学Saïd Business School的Alex Nicholls教授、Social Innovation Exchange(SIX)和好单位(Good Lab)。 ,"To find innovative solutions to social challenges in Hong Kong by building the capacity of the social innovation research community; fostering collaboration among higher education institutes, practitioners in the civic and business communities and other organisations working at the frontline of social service delivery; and facilitate the development of research projects which will link up the city’s academics with the beneficiary groups. ",項目旨在提升本地學術界在社會創新方面的能力，鼓勵更多讓本地學術界直接與目標受惠社群連繫的研究項目，藉此發掘創新方案以應對本港社會問題。,项目旨在提升本地学术界在社会创新方面的能力，鼓励更多让本地学术界直接与目标受惠社群连系的研究项目，借此发掘创新方案以应对本港社会问题。,3530380,3530380,3530380,14.0,14.0,14.0,Completed,已完成,已完成,https://www.britishcouncil.hk/about/press/%E8%8B%B1%E5%9C%8B%E6%96%87%E5%8C%96%E5%8D%94%E6%9C%83%E5%85%AC%E4%BD%88%E5%B6%84%E6%96%B0%E9%A0%85%E7%9B%AE%E3%80%8Cbricks%E3%80%8D%E6%8E%A8%E5%8B%95%E5%A4%A7%E5%AD%B8-%E3%80%81%E4%BC%81%E6%A5%AD%E8%88%87%E9%9D%9E%E6%94%BF%E5%BA%9C%E6%A9%9F%E6%A7%8B%E5%90%88%E4%BD%9C-%E7%99%BC%E5%B1%95%E9%A6%99%E6%B8%AF%E7%A4%BE%E6%9C%83%E5%89%B5%E6%96%B0,https://www.britishcouncil.hk/about/press/%E8%8B%B1%E5%9C%8B%E6%96%87%E5%8C%96%E5%8D%94%E6%9C%83%E5%85%AC%E4%BD%88%E5%B6%84%E6%96%B0%E9%A0%85%E7%9B%AE%E3%80%8Cbricks%E3%80%8D%E6%8E%A8%E5%8B%95%E5%A4%A7%E5%AD%B8-%E3%80%81%E4%BC%81%E6%A5%AD%E8%88%87%E9%9D%9E%E6%94%BF%E5%BA%9C%E6%A9%9F%E6%A7%8B%E5%90%88%E4%BD%9C-%E7%99%BC%E5%B1%95%E9%A6%99%E6%B8%AF%E7%A4%BE%E6%9C%83%E5%89%B5%E6%96%B0,https://www.britishcouncil.hk/about/press/%E8%8B%B1%E5%9C%8B%E6%96%87%E5%8C%96%E5%8D%94%E6%9C%83%E5%85%AC%E4%BD%88%E5%B6%84%E6%96%B0%E9%A0%85%E7%9B%AE%E3%80%8Cbricks%E3%80%8D%E6%8E%A8%E5%8B%95%E5%A4%A7%E5%AD%B8-%E3%80%81%E4%BC%81%E6%A5%AD%E8%88%87%E9%9D%9E%E6%94%BF%E5%BA%9C%E6%A9%9F%E6%A7%8B%E5%90%88%E4%BD%9C-%E7%99%BC%E5%B1%95%E9%A6%99%E6%B8%AF%E7%A4%BE%E6%9C%83%E5%89%B5%E6%96%B0
Big Silver Community,大銀力量,大银力量,BIG SILVER COMMUNITY LIMITED ,大銀力量有限公司 ,大银力量有限公司 ,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Community participation,社區參與,社区参与,Elderly,長者,长者,"To establish a social network of the elderly, caregivers, NGOs, corporates, professionals and media and engage them to collaborate in various programmes",建立一個包括長者、照顧者、非政府組織、企業、不同專業以及傳媒的網絡，促進參與各方在社區活動中合作,建立一个包括长者、照顾者、非政府组织、企业、不同专业以及传媒的网络，促进参与各方在社区活动中合作,"- Published 22 issues (including the trial issue) of BIG MAG monthly and reached an accumulated 370 000 readership- Established sales network with over 500 Circle K convenience stores, newspaper stalls, community shops and NGOs- Recruited 767 Big Silver Team members and provided over 7300 training hours to them- Organised 5 large-scale community events with over 22 000 participants- Formed 12 special concern groups on ageing issues with over 380 participants- Collaborated with 214 organisations to hold activities related to ageing- Attracted 18 200 followers in the Facebook page",- 出版22期《大人》雜誌 (包括試刊號)，接觸讀者人數約37萬人次- 與超過500間OK便利店、書報攤、社區小店及非政府組織建立雜誌銷售網絡- 招募767名大銀隊成員及向他們提供逾7300小時培訓- 舉辦5項大型社區活動，共有超過 22 000人參與- 成立12個有關老化議題的關注小組，共有超過380名參加者- 與214間機構協作舉辦關注長者議題活動- 面書專頁累積超過 18 200名追蹤者,- 出版22期《大人》杂志 (包括试刊号)，接触读者人数约37万人次- 与超过500间OK便利店、书报摊、社区小店及非政府组织建立杂志销售网络- 招募767名大银队成员及向他们提供逾7300小时培训- 举办5项大型社区活动，共有超过 22 000人参与- 成立12个有关老化议题的关注小组，共有超过380名参加者- 与214间机构协作举办关注长者议题活动- 面书专页累积超过 18 200名追踪者,3296861,3296861,3296861,24.00,24.00,24.00,Completed,已完成,已完成,bigsilver.org,bigsilver.org,bigsilver.org
Teach For Hong Kong Global Vision Fellowship Program,良師香港放眼世界項目老師計劃,良师香港放眼世界项目老师计划,Teach For Hong Kong Foundation Limited,良師香港,良师香港,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Helping underprivileged students enhance English proficiency and develop a global vision through the guidance of the programme’s fellows,透過項目老師的指導協助基層學童提高英文水平及發展國際視野,透过项目老师的指导协助基层学童提高英文水平及发展国际视野,˙	To serve 7 200 underprivileged students in 10 primary/secondary schools by training 60 fellows,•	培訓60位項目老師，指導來自10間小/中學共7 200名基層學童,•	培训60位项目老师，指导来自10间小/中学共7 200名基层学童,3291343,3291343,3291343,36.00,36.00,36.00,Active,推展中,推展中,www.tfhk.org,www.tfhk.org,www.tfhk.org
Social Innovation Design Lab ,社創設計室,社创设计室,Enable Foundation Limited,啟民創社,启民创社,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Others,其他,其他,Elderly,長者,长者,"Launched by Enable Foundation Limited in 2017, it is a training programme that aims to train young designers to become enablers for social innovation in Hong Kong. The Programme will be conducted through engaging young designers to co-create with senior citizens, community groups, service providers and design professionals to address three social issues in Hong Kong, namely Fine Dying, Dementia Going and Productive Ageing.",本培訓計劃由啟民創社於2017年推出，目的在培訓年青設計師成為未來的社創棟樑；他們將會與長者、社福界、商界和設計界的專才攜手探討和回應香港社會的老齡創新議題，包括「死物習作」、「腦化城市」和「老力生產」。,本培训计划由启民创社于2017年推出，目的在培训年青设计师成为未来的社创栋梁；他们将会与长者、社福界、商界和设计界的专才携手探讨和回应香港社会的老龄创新议题，包括「死物习作」、「脑化城市」和「老力生产」。,"To train young designers to become enablers for social innovation in Hong Kong. To address three social issues in Hong Kong, namely Fine Dying, Dementia Going and Productive Ageing through engaging young designers to co-create with senior citizens, community groups, service providers and design professionals.",項目旨在培訓年青設計師成為未來的社創棟樑；他們將會與長者、社福界、商界和設計界的專才攜手探討和回應香港社會的老齡創新議題，包括「死物習作」、「腦化城市」和「老力生產」。,项目旨在培训年青设计师成为未来的社创栋梁；他们将会与长者、社福界、商界和设计界的专才携手探讨和回应香港社会的老龄创新议题，包括「死物习作」、「脑化城市」和「老力生产」。,3128189,3128189,3128189,27.0,27.0,27.0,Completed,已完成,已完成,https://www.enable.org.hk/,https://www.enable.org.hk/,https://www.enable.org.hk/
Youth.ROC,街跑少年,街跑少年,RunOurCity Foundation Limited,RunOurCity Foundation Limited,RunOurCity Foundation Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Training programme on long distance running to bring positive changes to youth,透過長跑推動青少年身心健康發展,透过长跑推动青少年身心健康发展,‧Over 7 600 teenagers participated in Youth.ROC training‧Recruited 46 coaches‧Engaged three Youth.ROC Ambassadors to promote the programme in school talks and events,‧已有超過7 600名青少年參與「街跑少年」計劃‧招募46名教練‧培育3名「街跑少年」大使，於學校講座及活動中推廣此計劃,‧已有超过7 600名青少年参与「街跑少年」计划‧招募46名教练‧培育3名「街跑少年」大使，于学校讲座及活动中推广此计划,3000000,3000000,3000000,36.00,36.00,36.00,Completed,已完成,已完成,www.runourcity.org,www.runourcity.org,www.runourcity.org
Youth.ONE,街跑一隊,街跑一队,RunOurCity Foundation Limited,RunOurCity Foundation Limited,RunOurCity Foundation Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Training programme in distance running for youth to improve physical and mental health as well as to explore a career in the field,提供長跑訓練予青少年，幫助他們提升身心健康及在長跑領域開拓事業,提供长跑训练予青少年，帮助他们提升身心健康及在长跑领域开拓事业,‧To train 860 primary and secondary school students and at least 50% of them are expected to come from grassroots families‧To train 30 youngsters to be running coaches,‧訓練860名中小學生，預期其中最少一半來自基層家庭‧預計培訓30名學生成為跑步教練,‧训练860名中小学生，预期其中最少一半来自基层家庭‧预计培训30名学生成为跑步教练,2990009,2990009,2990009,36.00,36.00,36.00,Active,推展中,推展中,www.runourcity.org,www.runourcity.org,www.runourcity.org
Nurturing Global-minded Changemakers,Nurturing Global-minded Changemakers,Nurturing Global-minded Changemakers,Hong Kong Baptist University,香港浸會大學,香港浸会大学,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,"This Project is designed to consist of five university credit-bearing courses (15 credits in total) and one case research covering the following four themes - ""Social Innovation"", ""Capacity Building"", ""Network Development"" and ""Entrepreneurial Marketing Case Research"". It aims to cultivate university students’ intellectual capacity for social entrepreneurship via relevant courses and practicum, transfer social entrepreneurship and marketing knowledge via “train-the trainers” initiative and global field study and foster the growth of the social entrepreneurship ecosystem via case research.",項目透過五個學分課程（共15學分）和一項案例研究，涵蓋「社會創新」、「能力提升」、「網絡發展」和「創業營銷案例研究」四個主題，旨在從課程及實習中培養專上學生的社會創業家精神、並透過「導師培訓模式」和海外考察來傳授社會創業家精神和營銷知識，更會通過案例研究來促進社會創業生態系統的增長。,项目透过五个学分课程（共15学分）和一项案例研究，涵盖「社会创新」、「能力提升」、「网络发展」和「创业营销案例研究」四个主题，旨在从课程及实习中培养专上学生的社会创业家精神、并透过「导师培训模式」和海外考察来传授社会创业家精神和营销知识，更会通过案例研究来促进社会创业生态系统的增长。,"This Project aims to cultivate university students’ intellectual capacity for social entrepreneurship via relevant courses and practicum, transfer social entrepreneurship and marketing knowledge via “train-the trainers” initiative and global field study and foster the growth of the social entrepreneurship ecosystem via case research.",項目透過旨在從課程及實習中培養專上學生的社會創業家精神、並透過「導師培訓模式」和海外考察來傳授社會創業家精神和營銷知識，更會通過案例研究來促進社會創業生態系統的增長。,项目透过旨在从课程及实习中培养专上学生的社会创业家精神、并透过「导师培训模式」和海外考察来传授社会创业家精神和营销知识，更会通过案例研究来促进社会创业生态系统的增长。,2782333,2782333,2782333,43.0,43.0,43.0,Active,推展中,推展中,,,
Social Innovation. Design Lab in Place (SI.DLabII),社創設計室 2.0 ,社创设计室 2.0 ,Enable Foundation Ltd.,啟民創社,启民创社,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Others,其他,其他,Elderly,長者,长者,"Launched by Enable Foundation Limited in 2020, the 14-month programme aims to extend and further develop social innovation through co-creation and design thinking between young students, elderly and NGOs, riding on the successful foundation laid down in SI.DLab Phase I (2017-2019). The selected topic of the programme is ""Dementia Hong Kong"".",啟民創社於2020年再獲社創基金撥款支持推出社創設計室2.0，項目為期14個月，目的是深入發展上階段三個主題中的「腦化香港」，促使年青設計師與長者和社福界攜手創作為認知障礙症病患者所提供的產品和服務，並提昇大眾對認知障礙症的認知。 ,启民创社于2020年再获社创基金拨款支持推出社创设计室2.0，项目为期14个月，目的是深入发展上阶段三个主题中的「脑化香港」，促使年青设计师与长者和社福界携手创作为认知障碍症病患者所提供的产品和服务，并提升大众对认知障碍症的认知。 ,"The Programme will engage young designers to co-create tools and services with senior citizens and NGOs for dealing with dementia patients, as well as raise the public awareness of dementia.",項目旨在促使年青設計師與長者和社福界攜手創作為認知障礙症病患者所提供的產品和服務，提昇大眾對認知障礙症的認知。,项目旨在促使年青设计师与长者和社福界携手创作为认知障碍症病患者所提供的产品和服务，提升大众对认知障碍症的认知。,2760000,2760000,2760000,14.0,14.0,14.0,Active,推展中,推展中,https://www.enable.org.hk/,https://www.enable.org.hk/,https://www.enable.org.hk/
Start from the beginning - Chinese Supporting Scheme for Non-Chinese Speaking Students in Kindergarten (2017-19),從起步開始─幼稚園非華語學生學習中文支援計劃,从起步开始─幼稚园非华语学生学习中文支援计划,Oxfam Hong Kong,香港樂施會,香港乐施会,Innovative Project/Venture,創新計劃,创新计划,N/A,不適用,不适用,Scale-up,擴大規模,扩大规模,Education and learning,教育與學習,教育与学习,People of diverse race,不同種族人士,不同种族人士,Supporting non-Chinse speaking kindergarten students in learning the Chinese language and to facilitate their parents in creating a rich Chinese language environment at home.,支援本地幼稚園非華語學童學習中文，以及教導非華語家長如何為孩子製造良好的家庭語言環境，輔助他們的中文學習。,支援本地幼稚园非华语学童学习中文，以及教导非华语家长如何为孩子制造良好的家庭语言环境，辅助他们的中文学习。,To benefit 460 non-Chinese speaking kindergarten students,讓460名非華語幼稚園學生受惠,让460名非华语幼稚园学生受惠,2600000,2600000,2600000,29.0,29.0,29.0,Completed,已完成,已完成,,,
HandyRehab Home Edition (Deployment of hand training robots for rehabilitation at home),復康機械手 - 居家復康科技,复康机械手 - 居家复康科技,Zunosaki Limited,頂尖頭腦有限公司,顶尖头脑有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Healthcare,醫,医,Persons with disabilities,殘疾人士,残疾人士,Providing a new home-based robotic device to stroke patients to facilitate rehabilitation training at home ,提供全新開發家用機械設備方便中風病人在家中進行復康訓練,提供全新开发家用机械设备方便中风病人在家中进行复康训练,˙To sell 300 units of robotic glove˙To donate a total of 265 units of robotic glove to low-income families˙To benefit 610 stroke patients,˙出售300隻機械手套˙向低收入家庭捐贈共265隻機械手套˙讓610名中風病人受惠,˙出售300只机械手套˙向低收入家庭捐赠共265只机械手套˙让610名中风病人受惠,2185445,2185445,2185445,24.00,24.00,24.00,Active,推展中,推展中,www.handyrehab.com,www.handyrehab.com,www.handyrehab.com
OHH Dear Communications,老正工作室,老正工作室,Ohh Dear Communications Company Limited,老正工作室,老正工作室,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Elderly,長者,长者,Engaging silver-aged models to provide one-stop marketing solutions while promoting active ageing,聘用銀齡模特兒提供一站式市場推廣方案並推動積極老齡生活 ,聘用银龄模特儿提供一站式市场推广方案并推动积极老龄生活 ,To provide job opportunities to 62-67 elderly people and to enhance their social engagement,為62-67名長者提供工作機會，促進他們的社區參與,为62-67名长者提供工作机会，促进他们的社区参与,1970039,1970039,1970039,24.00,24.00,24.00,Active,推展中,推展中,www.ohh-dear.com,www.ohh-dear.com,www.ohh-dear.com
Home Modification: An Education Support Project for Children Living under Poverty,企理家居,企理家居,DOMAT Limited,多磨建社有限公司,多磨建社有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Living,住,住,Low-income families,低收入家庭,低收入家庭,Engaging volunteers to offer home modification services for low-income families living in sub-divided flats,結合義工的力量為居於板間房的低收入家庭提供家居改善服務,结合义工的力量为居于板间房的低收入家庭提供家居改善服务,To benefit 192 low-income families living in sub-divided flats,幫助192戶居於板間房的低收入家庭,帮助192户居于板间房的低收入家庭,1947770,1947770,1947770,25.00,25.00,25.00,Active,推展中,推展中,www.domat.hk,www.domat.hk,www.domat.hk
